doi,nr_adna_samples
10.1016/j.cell.2022.11.024,158
10.1016/j.cell.2023.10.018,141
10.1016/j.cub.2019.02.006,12
10.1016/j.cub.2019.04.026,43
10.1016/j.cub.2019.06.019,31
10.1016/j.cub.2019.06.044,11
10.1016/j.cub.2020.09.035,12
10.1016/j.cub.2021.04.022,11
10.1016/j.cub.2022.04.069,3
10.1016/j.cub.2022.04.093,291
10.1016/j.cub.2022.06.004,8
10.1016/j.cub.2022.06.016,1
10.1016/j.cub.2022.08.036,6
10.1016/j.cub.2022.11.034,37
10.1016/j.cub.2022.11.062,10
10.1016/j.cub.2023.02.041,2
10.1016/j.isci.2021.102383,10
10.1016/j.isci.2022.104094,48
10.1016/j.isci.2022.104244,20
10.1016/j.isci.2022.105636,10
10.1016/j.xgen.2023.100377,1
10.1016/j.xgen.2024.100507,4
10.1038/nature06742,0
10.1038/nature09710,1
10.1038/nature14317,69
10.1038/nature14895,0
10.1038/nature18964,0
10.1038/ncomms15694,3
10.1038/s41467-018-02825-9,39
10.1038/s41467-018-07483-5,15
10.1038/s41467-018-08220-8,49
10.1038/s41467-019-09209-7,8
10.1038/s41467-019-11357-9,38
10.1038/s41467-019-13549-9,1
10.1038/s41467-020-15020-6,2
10.1038/s41467-020-16557-2,55
10.1038/s41467-020-17656-w,20
10.1038/s41467-021-27356-8,66
10.1038/s41467-022-28827-2,38
10.1038/s41467-022-29158-y,21
10.1038/s41467-023-40072-9,1
10.1038/s41559-021-01443-x,1
10.1038/s41559-022-01775-2,16
10.1038/s41559-023-01987-0,1
10.1038/s41559-023-02114-9,34
10.1038/s41559-023-02143-4,28
10.1038/s41559-023-02211-9,2
10.1038/s41562-024-01888-7,58
10.1038/s41586-019-1279-z,30
10.1038/s41586-020-2378-6,44
10.1038/s41586-021-03335-3,14
10.1038/s41586-021-04052-7,18
10.1038/s41586-021-04108-8,18
10.1038/s41586-021-04241-4,62
10.1038/s41586-021-04287-4,793
10.1038/s41586-022-04430-9,24
10.1038/s41586-022-04800-3,7
10.1038/s41586-023-05726-0,162
10.1038/s41586-023-05754-w,80
10.1038/s41586-023-06166-6,9
10.1038/s41586-023-06350-8,32
10.1038/s41586-023-06618-z,85
10.1038/s41586-023-06771-5,119
10.1038/s41586-023-06865-0,631
10.1038/s41586-024-07312-4,440
10.1038/s41586-024-07509-7,56
10.1038/s41598-018-35667-y,1
10.1038/s41598-019-56029-2,2
10.1038/s41598-020-61190-0,3
10.1038/s41598-020-63138-w,19
10.1038/s41598-021-95996-3,1
10.1038/s41598-022-10899-1,1
10.1038/s41598-022-11117-8,19
10.1038/s41598-022-25384-y,1
10.1038/s41598-022-26799-3,1
10.1038/s41598-024-54462-6,48
10.1038/s41598-024-61052-z,12
10.1038/s42003-022-03508-4,2
10.1038/s42003-022-04190-2,2
10.1038/s42003-023-04681-w,3
10.1038/s42003-023-05131-3,72
10.1073/pnas.1421784112,3
10.1073/pnas.1813608115,20
10.1073/pnas.1818037116,23
10.1073/pnas.1820210116,24
10.1073/pnas.1918034117,58
10.1073/pnas.2005965117,12
10.1073/pnas.2108001119,37
10.1073/pnas.2120786119,5
10.1073/pnas.2205272119,50
10.1073/pnas.2210611120,7
10.1073/pnas.2303574120,32
10.1073/pnas.2310545121,10
10.1080/03014460.2019.1623912,2
10.1086/720748,2
10.1093/gbe/evab192,2
10.1093/molbev/msab216,26
10.1093/molbev/msac014,16
10.1093/molbev/msac108,34
10.1093/pnasnexus/pgac047,2
10.1098/rspb.2018.2288,4
10.1098/rspb.2019.1528,11
10.1101/2022.06.12.495320,25
10.1101/2024.05.29.596386,1
10.1126/sciadv.aao1262,12
10.1126/sciadv.aau5064,9
10.1126/sciadv.aax0061,10
10.1126/sciadv.aaz5344,101
